Name,Sample,Total,g1,Total_indel,#1-Indel,#1-Reads(%),#2-Indel,#2-Reads(%),#3-Indel,#3-Reads(%),#4-Indel,#4-Reads(%),#5-Indel,#5-Reads(%),#6-Indel,#6-Reads(%),#7-Indel,#7-Reads(%),#8-Indel,#8-Reads(%),#9-Indel,#9-Reads(%),#10-Indel,#10-Reads(%),#11-Indel,#11-Reads(%),#12-Indel,#12-Reads(%),#13-Indel,#13-Reads(%),#14-Indel,#14-Reads(%),#15-Indel,#15-Reads(%),#16-Indel,#16-Reads(%),#17-Indel,#17-Reads(%),#18-Indel,#18-Reads(%),#19-Indel,#19-Reads(%),#20-Indel,#20-Reads(%),#21-Indel,#21-Reads(%),#22-Indel,#22-Reads(%),#23-Indel,#23-Reads(%),#24-Indel,#24-Reads(%),#25-Indel,#25-Reads(%),#26-Indel,#26-Reads(%),#27-Indel,#27-Reads(%),#28-Indel,#28-Reads(%),#29-Indel,#29-Reads(%),#30-Indel,#30-Reads(%),#31-Indel,#31-Reads(%),#32-Indel,#32-Reads(%),#33-Indel,#33-Reads(%),#34-Indel,#34-Reads(%),#35-Indel,#35-Reads(%),#36-Indel,#36-Reads(%),#37-Indel,#37-Reads(%),#38-Indel,#38-Reads(%),#39-Indel,#39-Reads(%),#40-Indel,#40-Reads(%),#41-Indel,#41-Reads(%),#42-Indel,#42-Reads(%),#43-Indel,#43-Reads(%),#44-Indel,#44-Reads(%),#45-Indel,#45-Reads(%),#46-Indel,#46-Reads(%),#47-Indel,#47-Reads(%),#48-Indel,#48-Reads(%),#49-Indel,#49-Reads(%),#50-Indel,#50-Reads(%),#51-Indel,#51-Reads(%),#52-Indel,#52-Reads(%),#53-Indel,#53-Reads(%),#54-Indel,#54-Reads(%),#55-Indel,#55-Reads(%),#56-Indel,#56-Reads(%),#57-Indel,#57-Reads(%),#58-Indel,#58-Reads(%),#59-Indel,#59-Reads(%),#60-Indel,#60-Reads(%),#61-Indel,#61-Reads(%),#62-Indel,#62-Reads(%),#63-Indel,#63-Reads(%),#64-Indel,#64-Reads(%),#65-Indel,#65-Reads(%),#66-Indel,#66-Reads(%),#67-Indel,#67-Reads(%),#68-Indel,#68-Reads(%),#69-Indel,#69-Reads(%),#70-Indel,#70-Reads(%),#71-Indel,#71-Reads(%),#72-Indel,#72-Reads(%),#73-Indel,#73-Reads(%),#74-Indel,#74-Reads(%),#75-Indel,#75-Reads(%),#76-Indel,#76-Reads(%),#77-Indel,#77-Reads(%),#78-Indel,#78-Reads(%),#79-Indel,#79-Reads(%),#80-Indel,#80-Reads(%),#81-Indel,#81-Reads(%),#82-Indel,#82-Reads(%),#83-Indel,#83-Reads(%),#84-Indel,#84-Reads(%),#85-Indel,#85-Reads(%),#86-Indel,#86-Reads(%),#87-Indel,#87-Reads(%),#88-Indel,#88-Reads(%),#89-Indel,#89-Reads(%),#90-Indel,#90-Reads(%),#91-Indel,#91-Reads(%),#92-Indel,#92-Reads(%),#93-Indel,#93-Reads(%),#94-Indel,#94-Reads(%),#95-Indel,#95-Reads(%),#96-Indel,#96-Reads(%),#97-Indel,#97-Reads(%),#98-Indel,#98-Reads(%),#99-Indel,#99-Reads(%),#100-Indel,#100-Reads(%),#101-Indel,#101-Reads(%),#102-Indel,#102-Reads(%),#103-Indel,#103-Reads(%),#104-Indel,#104-Reads(%),#105-Indel,#105-Reads(%),#106-Indel,#106-Reads(%),#107-Indel,#107-Reads(%),#108-Indel,#108-Reads(%),#109-Indel,#109-Reads(%),#110-Indel,#110-Reads(%),#111-Indel,#111-Reads(%),#112-Indel,#112-Reads(%),#113-Indel,#113-Reads(%),#114-Indel,#114-Reads(%),#115-Indel,#115-Reads(%),#116-Indel,#116-Reads(%),#117-Indel,#117-Reads(%),#118-Indel,#118-Reads(%),#119-Indel,#119-Reads(%),#120-Indel,#120-Reads(%),#121-Indel,#121-Reads(%),#122-Indel,#122-Reads(%),#123-Indel,#123-Reads(%),#124-Indel,#124-Reads(%),#125-Indel,#125-Reads(%),#126-Indel,#126-Reads(%),#127-Indel,#127-Reads(%),#128-Indel,#128-Reads(%),#129-Indel,#129-Reads(%),#130-Indel,#130-Reads(%),#131-Indel,#131-Reads(%),#132-Indel,#132-Reads(%),#133-Indel,#133-Reads(%),#134-Indel,#134-Reads(%),#135-Indel,#135-Reads(%),#136-Indel,#136-Reads(%),#137-Indel,#137-Reads(%),#138-Indel,#138-Reads(%),#139-Indel,#139-Reads(%),#140-Indel,#140-Reads(%),#141-Indel,#141-Reads(%),#142-Indel,#142-Reads(%),#143-Indel,#143-Reads(%),#144-Indel,#144-Reads(%),#145-Indel,#145-Reads(%),#146-Indel,#146-Reads(%),#147-Indel,#147-Reads(%),#148-Indel,#148-Reads(%),#149-Indel,#149-Reads(%),#150-Indel,#150-Reads(%),#151-Indel,#151-Reads(%),#152-Indel,#152-Reads(%),#153-Indel,#153-Reads(%),#154-Indel,#154-Reads(%),#155-Indel,#155-Reads(%),#156-Indel,#156-Reads(%),#157-Indel,#157-Reads(%),#158-Indel,#158-Reads(%),#159-Indel,#159-Reads(%),#160-Indel,#160-Reads(%),#161-Indel,#161-Reads(%),#162-Indel,#162-Reads(%),#163-Indel,#163-Reads(%),#164-Indel,#164-Reads(%),#165-Indel,#165-Reads(%),#166-Indel,#166-Reads(%),#167-Indel,#167-Reads(%),#168-Indel,#168-Reads(%),#169-Indel,#169-Reads(%),#170-Indel,#170-Reads(%),#171-Indel,#171-Reads(%),#172-Indel,#172-Reads(%),#173-Indel,#173-Reads(%),#174-Indel,#174-Reads(%),#175-Indel,#175-Reads(%),#176-Indel,#176-Reads(%),#177-Indel,#177-Reads(%),#178-Indel,#178-Reads(%),#179-Indel,#179-Reads(%),#180-Indel,#180-Reads(%),#181-Indel,#181-Reads(%),#182-Indel,#182-Reads(%),#183-Indel,#183-Reads(%),#184-Indel,#184-Reads(%),#185-Indel,#185-Reads(%),#186-Indel,#186-Reads(%),#187-Indel,#187-Reads(%),#188-Indel,#188-Reads(%),#189-Indel,#189-Reads(%),#190-Indel,#190-Reads(%),#191-Indel,#191-Reads(%),#192-Indel,#192-Reads(%),#193-Indel,#193-Reads(%),#194-Indel,#194-Reads(%),#195-Indel,#195-Reads(%),#196-Indel,#196-Reads(%),#197-Indel,#197-Reads(%),#198-Indel,#198-Reads(%),#199-Indel,#199-Reads(%),#200-Indel,#200-Reads(%),SNP_test,raw_wt_counter,0bp,In-frame,Out-of-frame,%g1
Miller-Plate73-A05,,1160,1080 (93.10%),3.4%,0,1120 (96.6%),-1,38 (3.3%),1,1 (0.1%),-2,1 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.04,1209 (1.1),96.6,0.0,3.4,93.10
Miller-Plate73-A06,,1367,14 (1.02%),97.1%,1,636 (46.5%),-1,74 (5.4%),-2,62 (4.5%),-3,47 (3.4%),0,39 (2.9%),2,38 (2.8%),-4,36 (2.6%),-12,33 (2.4%),-21,32 (2.3%),-16,22 (1.6%),-28,21 (1.5%),-13,19 (1.4%),-5,19 (1.4%),-11,17 (1.2%),-15,16 (1.2%),-6,16 (1.2%),-10,15 (1.1%),-25,13 (1.0%),-7,13 (1.0%),-8,13 (1.0%),-9,13 (1.0%),3,9 (0.7%),-17,9 (0.7%),-14,9 (0.7%),-23,8 (0.6%),-26,7 (0.5%),-20,7 (0.5%),-18,6 (0.4%),-22,6 (0.4%),-33,5 (0.4%),-24,5 (0.4%),-27,5 (0.4%),-19,5 (0.4%),-35,4 (0.3%),-74,4 (0.3%),-56,3 (0.2%),-45,3 (0.2%),-31,3 (0.2%),-171,3 (0.2%),-32,3 (0.2%),-36,3 (0.2%),-61,3 (0.2%),-42,3 (0.2%),-39,3 (0.2%),-64,2 (0.1%),-40,2 (0.1%),-37,2 (0.1%),-52,2 (0.1%),-30,2 (0.1%),-91,2 (0.1%),-34,2 (0.1%),-48,2 (0.1%),-41,2 (0.1%),57,1 (0.1%),-38,1 (0.1%),-136,1 (0.1%),-87,1 (0.1%),-120,1 (0.1%),-89,1 (0.1%),20,1 (0.1%),62,1 (0.1%),-128,1 (0.1%),-53,1 (0.1%),-29,1 (0.1%),4,1 (0.1%),-221,1 (0.1%),60,1 (0.1%),-105,1 (0.1%),54,1 (0.1%),-193,1 (0.1%),-177,1 (0.1%),-88,1 (0.1%),-107,1 (0.1%),-81,1 (0.1%),5,1 (0.1%),39,1 (0.1%),61,1 (0.1%),-68,1 (0.1%),-144,1 (0.1%),-176,1 (0.1%),-59,1 (0.1%),-72,1 (0.1%),-43,1 (0.1%),-101,1 (0.1%),33,1 (0.1%),-123,1 (0.1%),-119,1 (0.1%),36,1 (0.1%),26,1 (0.1%),-46,1 (0.1%),-127,1 (0.1%),27,1 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.00,16 (1.1),2.9,16.2,81.0,1.02
Miller-Plate73-A07,,1384,20 (1.45%),96.5%,1,689 (49.8%),-1,79 (5.7%),0,49 (3.5%),-2,49 (3.5%),-3,39 (2.8%),-4,35 (2.5%),-21,29 (2.1%),-13,25 (1.8%),-12,25 (1.8%),-8,20 (1.4%),-5,19 (1.4%),2,18 (1.3%),-6,16 (1.2%),-16,16 (1.2%),-14,16 (1.2%),-33,15 (1.1%),-15,14 (1.0%),-9,13 (0.9%),-25,13 (0.9%),-10,12 (0.9%),-23,12 (0.9%),-11,11 (0.8%),-18,10 (0.7%),-27,8 (0.6%),-22,7 (0.5%),-34,6 (0.4%),-7,6 (0.4%),-20,6 (0.4%),-45,6 (0.4%),3,5 (0.4%),-28,5 (0.4%),-30,5 (0.4%),-24,4 (0.3%),-19,4 (0.3%),59,4 (0.3%),-41,4 (0.3%),-26,4 (0.3%),-63,4 (0.3%),-17,4 (0.3%),-38,3 (0.2%),-36,3 (0.2%),-81,3 (0.2%),-46,3 (0.2%),-44,2 (0.1%),4,2 (0.1%),-29,2 (0.1%),-39,2 (0.1%),-47,2 (0.1%),-37,2 (0.1%),-31,2 (0.1%),-136,2 (0.1%),-96,2 (0.1%),-35,2 (0.1%),-58,2 (0.1%),-51,2 (0.1%),-32,2 (0.1%),40,1 (0.1%),-54,1 (0.1%),-248,1 (0.1%),85,1 (0.1%),-115,1 (0.1%),-204,1 (0.1%),-48,1 (0.1%),-132,1 (0.1%),-129,1 (0.1%),-153,1 (0.1%),-94,1 (0.1%),24,1 (0.1%),-64,1 (0.1%),-71,1 (0.1%),-79,1 (0.1%),-76,1 (0.1%),46,1 (0.1%),-193,1 (0.1%),-125,1 (0.1%),-61,1 (0.1%),-119,1 (0.1%),-88,1 (0.1%),-42,1 (0.1%),55,1 (0.1%),5,1 (0.1%),56,1 (0.1%),65,1 (0.1%),-128,1 (0.1%),-91,1 (0.1%),-143,1 (0.1%),-112,1 (0.1%),-49,1 (0.1%),90,1 (0.1%),73,1 (0.1%),-66,1 (0.1%),-141,1 (0.1%),-207,1 (0.1%),10,1 (0.1%),-162,1 (0.1%),58,1 (0.1%),NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,1.02,23 (1.1),3.5,15.8,80.7,1.45
